mart,mart_code,sale_date,lot,auction_id,breed,sex,age_months,weight,price,price_per_kg,icbf_stars,status,scraped_date,val_code
LSL Auctions,M186,2026-03-26,314,628175,FR,F,34.0,435.0,1120.0,2.5747,4.0,Lot Sold,2026-03-27,M186-628175
LSL Auctions,M186,2026-03-26,315,628176,FR,F,37.6,500.0,1380.0,2.76,4.0,Lot Sold,2026-03-27,M186-628176
LSL Auctions,M186,2026-03-26,316,628177,FR,F,29.2,460.0,1400.0,3.0435,4.0,Lot Sold,2026-03-27,M186-628177
LSL Auctions,M186,2026-03-26,317,628178,FR,F,29.2,475.0,1150.0,2.4211,4.0,Lot Sold,2026-03-27,M186-628178
LSL Auctions,M186,2026-03-26,318,628179,FR,F,35.8,535.0,1490.0,2.785,4.0,Lot Sold,2026-03-27,M186-628179
LSL Auctions,M186,2026-03-26,319,628180,FR,F,129.0,570.0,1460.0,2.5614,4.0,Lot Sold,2026-03-27,M186-628180
LSL Auctions,M186,2026-03-26,320,628152,FR,F,96.1,760.0,2030.0,2.6711,4.0,Lot Sold,2026-03-27,M186-628152
LSL Auctions,M186,2026-03-26,321,628153,FR,F,97.8,665.0,1710.0,2.5714,4.0,Lot Sold,2026-03-27,M186-628153
LSL Auctions,M186,2026-03-26,322,628154,FR,F,73.6,640.0,1660.0,2.5938,4.0,Lot Sold,2026-03-27,M186-628154
LSL Auctions,M186,2026-03-26,323,628159,FR,F,61.8,570.0,1430.0,2.5088,4.0,Lot Sold,2026-03-27,M186-628159
LSL Auctions,M186,2026-03-26,324,628160,FRX,F,33.2,440.0,1100.0,2.5,4.0,Lot Sold,2026-03-27,M186-628160
LSL Auctions,M186,2026-03-26,325,628161,FR,F,84.6,640.0,1660.0,2.5938,4.0,Lot Sold,2026-03-27,M186-628161
LSL Auctions,M186,2026-03-26,326,628162,FR,F,47.6,535.0,1510.0,2.8224,4.0,Lot Sold,2026-03-27,M186-628162
LSL Auctions,M186,2026-03-26,327,628163,FR,F,72.2,585.0,1510.0,2.5812,4.0,Lot Sold,2026-03-27,M186-628163
LSL Auctions,M186,2026-03-26,328,628164,FR,F,60.9,655.0,1820.0,2.7786,4.0,Lot Sold,2026-03-27,M186-628164
LSL Auctions,M186,2026-03-26,329,628165,FR,F,121.7,785.0,2160.0,2.7516,4.0,Lot Sold,2026-03-27,M186-628165
LSL Auctions,M186,2026-03-26,330,628166,FR,F,144.7,585.0,1520.0,2.5983,4.0,Lot Sold,2026-03-27,M186-628166
LSL Auctions,M186,2026-03-26,331,628167,FR,F,145.1,535.0,1520.0,2.8411,4.0,Lot Sold,2026-03-27,M186-628167
LSL Auctions,M186,2026-03-26,504,627976,AAX,F,16.4,320.0,1190.0,3.7188,4.0,Lot Sold,2026-03-27,M186-627976
LSL Auctions,M186,2026-03-26,505,627977,AAX,F,16.5,310.0,1270.0,4.0968,4.0,Lot Sold,2026-03-27,M186-627977
LSL Auctions,M186,2026-03-26,506,627978,AAX,F,15.5,305.0,1270.0,4.1639,4.0,Lot Sold,2026-03-27,M186-627978
LSL Auctions,M186,2026-03-26,507,627979,AAX,F,17.3,375.0,1420.0,3.7867,4.0,Lot Sold,2026-03-27,M186-627979
LSL Auctions,M186,2026-03-26,508,627980,AAX,F,16.4,305.0,1270.0,4.1639,4.0,Lot Sold,2026-03-27,M186-627980
LSL Auctions,M186,2026-03-26,509,627981,AAX,F,16.5,370.0,1470.0,3.973,4.0,Lot Sold,2026-03-27,M186-627981
LSL Auctions,M186,2026-03-26,510,627813,CHX,F,24.7,580.0,2200.0,3.7931,4.0,Lot Sold,2026-03-27,M186-627813
LSL Auctions,M186,2026-03-26,511,627814,CHX,F,24.7,560.0,2190.0,3.9107,4.0,Lot Sold,2026-03-27,M186-627814
LSL Auctions,M186,2026-03-26,512,627815,CHX,F,24.4,560.0,2540.0,4.5357,4.0,Lot Sold,2026-03-27,M186-627815
LSL Auctions,M186,2026-03-26,513,627816,CHX,F,24.0,560.0,2280.0,4.0714,4.0,Lot Sold,2026-03-27,M186-627816
LSL Auctions,M186,2026-03-26,514,627817,CHX,F,23.4,530.0,2300.0,4.3396,4.0,Lot Sold,2026-03-27,M186-627817
